Nome,Preço
Tri Hotel Balneario Camboriu,R$ 856
Residencial Dubai Centro,R$ 1.120
Hotel das Américas,R$ 1.100
Hotel Bella Camboriú,R$ 1.123
Hotel dos Açores,R$ 1.036
Sandri City Hotel,R$ 910
Hotel Ilha da Madeira,R$ 1.036
Hotel Negrini,R$ 1.172
Hotel Torre Sol,R$ 688
Hotel Gumz,R$ 1.144
Hotel Sibara Flat Hotel & Convenções,R$ 1.288
Tropikalya Gold Hotel,R$ 966
Hotel Rieger,R$ 1.904
Hotel Blumenau - Balneário Camboriú,R$ 1.596
Hotel Plaza Camboriú,R$ 2.202
Tropikalya Prime Hotel,R$ 884
BRUT by Slaviero Hotéis,R$ 2.189
Miramar Hotel,R$ 1.684
Hotel Praiamar,R$ 840
Pousada do Bosque Di Sica,R$ 996
Hotel Vieiras,R$ 1.472
Hotel do Bosque,R$ 1.154
Camboriú Praia Hotel,R$ 1.201
"Apartamento Av Brasil, 150 mtr do Mar",R$ 1.200
Hotel Geranium,R$ 1.000
Rizzu Marina Hotel,R$ 1.341
Pousada Estaleiro Village - Frente Mar,R$ 1.596
Aptos Praia Central Omega B,R$ 1.450
Rezende Suites Hotel,R$ 920
Hotel Flat Concept,R$ 1.955
Pousada Magnus,R$ 1.950
Pousada Vila Taquaras,R$ 1.596
Paraiso do Estaleirinho - Balneario Camboriu,R$ 1.421
Amplo e iluminado apto central para temporada,R$ 1.316
Apartamento BC com vista para o mar,R$ 1.400
Camburiu Home 2004,R$ 2.300
Casa pertinho melhor localidade de BC,R$ 1.017
HM Hotel,R$ 1.214
Apartamento Temporada Balneário Camboriú,R$ 3.200
Frente ao Mar Melhor Oferta,R$ 3.000
Hotel Pires,R$ 1.124
Atobá Praia Hotel,R$ 1.369
Hotel D'sintra,R$ 1.537
Mercure Camboriu,R$ 3.620
Apartamento Mar Vermelho,R$ 560
Apto Decorado c/Piscina & Churrasqueira,R$ 1.348
Mar Hotel,R$ 787
Master Hotel,R$ 620
Hotel Melo,R$ 1.065
O Costão do Sol,R$ 1.992
Ibis Styles Balneário Camboriú - 1 Quadra do Mar,R$ 1.253
Pousada Morada das Nações,R$ 410
Hotel Ryan,R$ 1.284
Hamburgo Palace Hotel,R$ 904
"Apto no centro, com ótima localização",R$ 1.200
Hotel Rosenbrock,R$ 990
Centromar Hotel,R$ 941
Hotel Marimar The Place,R$ 1.790
Prédio beira mar,R$ 1.615
Pousada Villa Atlântica,R$ 870
Suíte em Balneário Camboriú,R$ 780
Cabanas Hostel & Suites,R$ 840
Apartamento Vila Real,R$ 1.104
Morada da Lena 1,R$ 800
Hotel Pousada Valintur,R$ 676
Sagres Praia Hotel,R$ 976
Santa Inn Hotel,R$ 2.405
Solar Lisboa 100 m da Praia com vista para mar,R$ 1.396
Parador Estaleiro Hotel Exclusive,R$ 5.060
Hotel Paraná BC,R$ 480
Luxo e Conforto a Beira Mar em Balneário Camboriu,R$ 4.400
Hotel Palmas Executivo,R$ 940
Hotel Blumenhof Balneário Camboriú,R$ 876
Pousada Recanto Estaleiro Residencial,R$ 1.200
Suit’s,R$ 1.196
Hotel San Carlos,R$ 1.080
"Apto predio frente mar canto norte, frente roda gigante",R$ 2.600
"""Conforto e Bem Estar"" Próximo da praia",R$ 1.396
MELO APARTAMENTOS AV. BRASIL,R$ 1.421
Hotel Suiça Faber,R$ 1.028
Costa Sul Beach Hotel,R$ 1.172
Hotel Dinamarca,R$ 580
Pousada Ponta do Lobo,R$ 1.890
LINDO APTO CENTRAL COM GARAGEM,R$ 1.600
Maika'i Pousada,R$ 600
Apartamento na Av.Atlantica,R$ 1.196
RESIDENCIAL 700 - ESTÚDIO TÉRREO,R$ 636
Quarto com Banheiro Privativo,R$ 400
Shallom Hotel,R$ 876
Chemin Suites,R$ 800
Loft espaco unico lado roda gigante,R$ 800
GUINZA,R$ 1.800
Balneário Camboriú lindo apto proximo Mar,R$ 1.122
Balneario Camboriu - edificio Las Vegas - Apartamento arejado e reformado - 2 quartos - 2 banheiros - Próximo da Praia - Portaria 24h - Garagem Privativa,R$ 1.220
Apartment Lugano Miguel Matte,R$ 3.200
Apartamento Decorado Coral,R$ 1.000
"Apart Av Atlant-30 metros da praia, Próx Shop Atlântico, com WIFI grátis, com todos os utensílios de cozinha",R$ 1.352
Brasil Express,R$ 4.464
Apto alto padrão,R$ 1.400
Lindo Apartamento em Balneário Camboriú,R$ 720
Pousada Villa Di Loire,R$ 2.000
Casa de férias,R$ 1.000
Balneário Camboriú,R$ 3.928
Residencial Aroeira,R$ 720
Pousada Recanto Paraíso - Apartamento,R$ 1.400
Apartamento Avenida Brasil BC,R$ 736
S1 Villa Container - Balneário Camboriú,R$ 1.320
LINDO APARTAMENTO 1822,R$ 1.526
Apartamento a uma quadra da praia em Camboriu,R$ 1.480
